id	audio	sample_rate	speaker	duration	tgt_text_without_diacritization	tgt_text
47	wav/0047.wav	44100	SP1	5.83916099773243	بواط نجيبلك كوكا بواط و الا بلار  نجيبلك كوكا بواط و الا بلار	بْوَاطْ الدَّبُّوزَ الْكُلّْهَا بْوَاطْ الدَّبُّوزَ الْكُلّْهَا بْوَاطْ
124	wav/0124.wav	44100	SP1	11.77179138322	تعدى ع القانون تعدى ع القانون تعدى ع القانون كان تتعدى على القانون باش تشد الحبس كان تتعدى على القانون باش تشد الحبس	تْعَدَّى عَ الْقَانُونْ تْعَدَّى عَ الْقَانُونْ تْعَدَّى عَ الْقَانُونْ كَانْ تِتْعَدَّى عَ الْقَانُونْ بَاشْ تْشِدْ الْحَبْسْ كَانْ تِتْعَدَّى عَ الْقَانُونْ بَاشْ تْشِدْ الْحَبْسْ
127	wav/0127.wav	44100	SP1	10.8726757369615	تعدى فلاش تعدى فلاش تعدى فلاش مش نورمال الكرهبة تعدات فلاش مش نورمال الكرهبة تعدات فلاش	تْعَدَّى فْلَاشْ تْعَدَّى فْلَاشْ تْعَدَّى فْلَاشْ مِشْ نُورْمَالْ الْكَرْهْبَة تْعَدَّاتْ فْلَاشْ مِشْ نُورْمَالْ الْكَرْهْبَة تْعَدَّاتْ فْلَاشْ
132	wav/0132.wav	44100	SP1	11.5859183673469	تعدي عل الملكية تعدي عل الملكية تعدي عل الملكية تعدى ع ملكية الغير تعدى ع ملكية الغير	تْعَدَّي عَ الْمِلْكِيَّة تْعَدَّي عَ الْمِلْكِيَّة تْعَدَّي عَ الْمِلْكِيَّة تْعَدَّى عْلَى مِلْكِيِّةْ الْغِيرْ تْعَدَّى عْلَى مِلْكِيِّةْ الْغِيرْ
19063	wav/19063.wav	44100	SP1	10.6891836734694	مجلس التاديب مجلس التاديب مجلس التاديب التلميذ تعدى على مجلس التاديب التلميذ تعدى على مجلس التاديب	مَجْلِسْ التَّأْدِيبْ مَجْلِسْ التَّأْدِيبْ مَجْلِسْ التَّأْدِيبْ التِّلْمِيذْ تْعَدَّى عْلَى مَجْلِسْ التَّأْدِيبْ التِّلْمِيذْ تْعَدَّى عْلَى مَجْلِسْ التَّأْدِيبْ
18835	wav/18835.wav	44100	SP1	10.9823129251701	مشتركة مشتركة مشتركة وحدات مشتركة تامن في الحدود التونسية وحدات مشتركة تامن في الحدود التونسية	مُشْتَرْكَة مُشْتَرْكَة مُشْتَرْكَة وَحَدَاتْ مُشْتَرْكَة تْأَمِّنْ فِي الْحُدُودْ التُّونْسِيَّة وَحَدَاتْ مُشْتَرْكَة تْأَمِّنْ فِي الْحُدُودْ التُّونْسِيَّة
75	wav/0075.wav	44100	SP1	10.7273696145125	تصرف لايق تصرف لايق تصرف لايق تصرف لايق بالمركز متاعو تصرف لايق بالمركز متاعو	تَصَرُّفْ لَايِقْ تَصَرُّفْ لَايِقْ تَصَرُّفْ لَايِقْ تَصَرُّفْ لَايِقْ بِالْمَرْكِزْ مْتَاعُو تَصَرُّفْ لَايِقْ بِالْمَرْكِزْ مْتَاعُو
15721	wav/15721.wav	44100	SP1	12.3685260770975	الة موسيقية الة موسيقية الة موسيقية اختار الالة الموسيقية متاعو في الكونسرفتوار اختار الالة الموسيقية متاعو في الكونسرفتوار	آلَة مُوسِيقِيَّة آلَة مُوسِيقِيَّة آلَة مُوسِيقِيَّة إِخْتَارْ الْآلَة الْمُوسِيقِيَّة مْتَاعُو فِي الْكُونْسَرْفَتْوَارْ إِخْتَارْ الْآلَة الْمُوسِيقِيَّة مْتَاعُو فِي الْكُونْسَرْفَتْوَارْ
313	wav/0313.wav	44100	SP1	7.75678004535147	تفوق تفوق تفوق تفوق في الدومان متاعو تفوق في الدومان متاعو	تْفَوَّقْ تْفَوَّقْ تْفَوَّقْ تْفَوَّقْ فِي الدُّومَانْ مْتَاعُو تْفَوَّقْ فِي الدُّومَانْ مْتَاعُو
21143	wav/21143.wav	44100	SP1	8.89331065759637	مناسب مناسب مناسب القرار جا في الوقت المناسب القرار جا في الوقت المناسب	مُنَاسِبْ مُنَاسِبْ مُنَاسِبْ الْقَرَارْ جَا فِي الْوَقْتْ الْمُنَاسِبْ الْقَرَارْ جَا فِي الْوَقْتْ الْمُنَاسِبْ
